model, prompt_tokens, completion_tokens, reponse_status, date
gpt-35-turbo, 196, 1, 200, 2024-05-22
gpt-35-turbo, 203, 1, 200, 2024-05-22
gpt-35-turbo, 186, 1, 200, 2024-05-22
gpt-35-turbo, 186, 1, 200, 2024-05-22
gpt-35-turbo, 186, 1, 200, 2024-05-22
gpt-35-turbo, 186, 1, 200, 2024-05-22
gpt-4, 184, 1, 200, 2024-05-22
gpt-4, 184, 1, 200, 2024-05-22
gpt-4, 220, 1, 200, 2024-05-22
gpt-4, 220, 1, 200, 2024-05-22
gpt-35-turbo, 222, 1, 200, 2024-05-22
gpt-35-turbo, 179, 1, 200, 2024-05-22
gpt-35-turbo, 179, 1, 200, 2024-05-22
gpt-35-turbo, 168, 1, 200, 2024-05-22
gpt-35-turbo, 167, 1, 200, 2024-05-22
gpt-35-turbo, 168, 1, 200, 2024-05-22
gpt-35-turbo, 203, 1, 200, 2024-05-22
gpt-35-turbo, 200, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 202, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 202, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 209, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 211, 1, 200, 2024-05-22
gpt-35-turbo, 222, 1, 200, 2024-05-22
gpt-35-turbo, 211, 1, 200, 2024-05-22
gpt-35-turbo, 211, 1, 200, 2024-05-22
gpt-35-turbo, 211, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 211, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 220, 1, 200, 2024-05-24
gpt-35-turbo, 211, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 220, 1, 200, 2024-05-24
gpt-35-turbo, 211, 1, 200, 2024-05-24
gpt-35-turbo, 204, 1, 200, 2024-05-24
gpt-35-turbo, 212, 1, 200, 2024-05-24
gpt-35-turbo, 242, 1, 200, 2024-05-24
gpt-35-turbo, 232, 1, 200, 2024-05-24
gpt-35-turbo, 207, 1, 200, 2024-05-24
gpt-35-turbo, 187, 1, 200, 2024-05-24
gpt-35-turbo, 230, 1, 200, 2024-05-24
gpt-35-turbo, 159, 1, 200, 2024-05-24
gpt-35-turbo, 176, 1, 200, 2024-05-24
gpt-35-turbo, 214, 1, 200, 2024-05-24
gpt-35-turbo, 226, 1, 200, 2024-05-24
gpt-35-turbo, 183, 1, 200, 2024-05-24
gpt-35-turbo, 205, 1, 200, 2024-05-24
gpt-35-turbo, 180, 1, 200, 2024-05-24
gpt-35-turbo, 223, 1, 200, 2024-05-24
gpt-35-turbo, 191, 1, 200, 2024-05-24
gpt-35-turbo, 206, 1, 200, 2024-05-24
gpt-35-turbo, 248, 1, 200, 2024-05-24
gpt-35-turbo, 180, 1, 200, 2024-05-24
gpt-35-turbo, 250, 1, 200, 2024-05-24
gpt-35-turbo, 204, 1, 200, 2024-05-24
gpt-35-turbo, 252, 1, 200, 2024-05-24
gpt-35-turbo, 202, 1, 200, 2024-05-24
gpt-35-turbo, 201, 1, 200, 2024-05-24
gpt-35-turbo, 201, 1, 200, 2024-05-24
gpt-35-turbo, 171, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 99, 1, 200, 2024-05-24
gpt-35-turbo, 179, 1, 200, 2024-05-24
gpt-35-turbo, 197, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 165, 1, 200, 2024-05-24
gpt-35-turbo, 184, 1, 200, 2024-05-24
gpt-35-turbo, 228, 1, 200, 2024-05-24
gpt-35-turbo, 220, 1, 200, 2024-05-24
gpt-35-turbo, 217, 1, 200, 2024-05-24
gpt-35-turbo, 235, 1, 200, 2024-05-24
gpt-35-turbo, 206, 1, 200, 2024-05-24
gpt-35-turbo, 190, 1, 200, 2024-05-24
gpt-35-turbo, 210, 1, 200, 2024-05-24
gpt-35-turbo, 186, 1, 200, 2024-05-24
gpt-35-turbo, 185, 1, 200, 2024-05-24
gpt-35-turbo, 187, 1, 200, 2024-05-24
gpt-35-turbo, 260, 1, 200, 2024-05-24
gpt-35-turbo, 171, 1, 200, 2024-05-24
gpt-35-turbo, 243, 1, 200, 2024-05-24
gpt-35-turbo, 221, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 212, 1, 200, 2024-05-24
gpt-35-turbo, 294, 1, 200, 2024-05-24
gpt-35-turbo, 214, 1, 200, 2024-05-24
gpt-35-turbo, 241, 1, 200, 2024-05-24
gpt-35-turbo, 253, 1, 200, 2024-05-24
gpt-35-turbo, 198, 1, 200, 2024-05-24
gpt-35-turbo, 182, 1, 200, 2024-05-24
gpt-35-turbo, 196, 1, 200, 2024-05-24
gpt-35-turbo, 183, 1, 200, 2024-05-24
gpt-35-turbo, 276, 1, 200, 2024-05-24
gpt-35-turbo, 156, 1, 200, 2024-05-24
gpt-35-turbo, 226, 1, 200, 2024-05-24
gpt-35-turbo, 216, 1, 200, 2024-05-24
gpt-35-turbo, 245, 1, 200, 2024-05-24
gpt-35-turbo, 204, 1, 200, 2024-05-24
gpt-35-turbo, 228, 1, 200, 2024-05-24
gpt-35-turbo, 190, 1, 200, 2024-05-24
gpt-35-turbo, 201, 1, 200, 2024-05-24
gpt-35-turbo, 208, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 220, 1, 200, 2024-05-24
gpt-35-turbo, 211, 1, 200, 2024-05-24
gpt-35-turbo, 204, 1, 200, 2024-05-24
gpt-35-turbo, 212, 1, 200, 2024-05-24
gpt-35-turbo, 242, 1, 200, 2024-05-24
gpt-35-turbo, 232, 1, 200, 2024-05-24
gpt-35-turbo, 207, 1, 200, 2024-05-24
gpt-35-turbo, 187, 1, 200, 2024-05-24
gpt-35-turbo, 230, 1, 200, 2024-05-24
gpt-35-turbo, 159, 1, 200, 2024-05-24
gpt-35-turbo, 176, 1, 200, 2024-05-24
gpt-35-turbo, 214, 1, 200, 2024-05-24
gpt-35-turbo, 226, 1, 200, 2024-05-24
gpt-35-turbo, 183, 1, 200, 2024-05-24
gpt-35-turbo, 205, 1, 200, 2024-05-24
gpt-35-turbo, 180, 1, 200, 2024-05-24
gpt-35-turbo, 223, 1, 200, 2024-05-24
gpt-35-turbo, 191, 1, 200, 2024-05-24
gpt-35-turbo, 206, 1, 200, 2024-05-24
gpt-35-turbo, 248, 1, 200, 2024-05-24
gpt-35-turbo, 180, 1, 200, 2024-05-24
gpt-35-turbo, 250, 1, 200, 2024-05-24
gpt-35-turbo, 204, 1, 200, 2024-05-24
gpt-35-turbo, 252, 1, 200, 2024-05-24
gpt-35-turbo, 202, 1, 200, 2024-05-24
gpt-35-turbo, 201, 1, 200, 2024-05-24
